x_gt,y_gt,z_gt,x_meas,y_meas,z_meas
0.0,0.1438276615812609,0.16829419696157932,0.024835707650561634,0.13691444652270165,0.20067862386661395
0.0523511641313085,0.18330443570126817,0.17675932083837023,0.12850265695170976,0.17159676696510137,0.1650524729909112
0.10412684301952634,0.2182525944824544,0.18398046435865856,0.18308748379489592,0.25662433094009984,0.16050674506191095
0.154757877608774,0.24780872855169367,0.1899068072282265,0.18188587978807222,0.22463784391107056,0.16662031954971365
0.20368769167516007,0.27124264083770316,0.19449664158080338,0.21578580525346178,0.17557862860481327,0.10825074995515173
0.25037841015115503,0.2879753864054026,0.19771766550581873,0.22226403368910638,0.23733383038868142,0.21343003213558243
0.29431677187212,0.297593575540852,0.19954721037979326,0.24891556809605947,0.22697839047408738,0.27282964882587096
0.3350197717474219,0.29985958672287066,0.19997240040147488,0.32373095672309515,0.30323599695726683,0.12873499109080205
0.37203997033294434,0.29471743716545823,0.19899024320795883,0.3448208341066852,0.30026356665095155,0.14144056433684368
0.4049704124379905,0.28229416589672707,0.1966076509340617,0.42375531335527405,0.2522622314007868,0.18202296344439786
0.4334491006973754,0.2628966952047859,0.19284139156674018,0.40336377008590557,0.3555106044302328,0.1921665303298435
0.4571629749316778,0.23700424798990888,0.18771797093690729,0.4042774284838828,0.27813149359506834,0.12667578843835617
0.4758513535513896,0.2052565083555837,0.18127344617915364,0.48629453330162736,0.10727300216159492,0.11486414373423211
0.4893087991743361,0.16843781793615697,0.17355317197218922,0.4991518609677923,0.2053611469359275,0.18212158603168774
0.49738737695524293,0.12745779839763383,0.16461148134589187,0.4916049628358309,0.11240261361816939,0.0906853818275205
0.49999828080211156,0.08332887884112873,0.15451130330134788,0.4640060703823761,0.06029694029313935,0.20736741461229366
0.49711280960275217,0.037141283304181566,0.14332371993496368,0.5142937240811752,-0.05101072446395513,0.15952791840470343
0.48876268273002205,-0.009963903695467199,0.13112746618347984,0.4695085687092062,-0.04381000371076514,0.16171128062552323
