frame,x,y,z
0,0.0956,-0.2902,0.0379
1,0.0960202490225695,-0.2889395312874983,0.0378955842815114
2,0.0964403124750011,-0.2876812886792224,0.0378823390759029
3,0.0968600048690995,-0.2864274943478924,0.0378602702318842
4,0.0972791408805184,-0.2851803626101601,0.0378293874944357
5,0.0976975354305941,-0.2839420960159215,0.0377897045005048
6,0.0981150037680717,-0.2827148814584099,0.0377412387729845
7,0.0985313615506856,-0.2815008863119403,0.0376840117129757
8,0.0989464249265599,-0.2803022546041264,0.0376180485903371
9,0.0993600106153923,-0.2791211032293293,0.0375433785325268
10,0.0997719359893856,-0.2779595182100268,0.0374600345117402
11,0.1001820191538908,-0.2768195510127048,0.0373680533303506
12,0.1005900790277267,-0.2757032149247776,0.0372674756046584
13,0.1009959354231404,-0.274612481498937,0.0371583457469559
14,0.1013994091253731,-0.2735492770712072,0.0370407119459161
15,0.101800321971796,-0.2725154793588581,0.0369146261453141
16,0.1021984969305824,-0.2715129141441827,0.0367801440210898
17,0.1025937581788795,-0.2705433520499967,0.0366373249567636
18,0.1029859311804471,-0.2696085054125555,0.0364862320172136
19,0.1033748427627279,-0.2687100252574096,0.0363269319208287
20,0.1037603211933154,-0.2678494983835415,0.0361594950100468
21,0.1041421962557864,-0.2670284445609313,0.0359839952202943
22,0.1045202993248635,-0.2662483138465031,0.0358005100473377
23,0.1048944634408753,-0.2655104840231903,0.0356091205130641
24,0.1052645233834815,-0.2648162581666434,0.0354099111297041
25,0.105630315744629,-0.2641668623438785,0.0352029698625133
26,0.1059916790007086,-0.2635634434479287,0.0349883880909297
27,0.1063484535838792,-0.2630070671723263,0.0347662605682229
28,0.1067004819525285,-0.2624987161289886,0.0345366853796538
29,0.1070476086608388,-0.2620392881128345,0.0342997638991629
30,0.1073896804274279,-0.2616295945161963,0.0340556007446063
31,0.1077265462030332,-0.2612703588958253,0.0338043037315595
32,0.1080580572372115,-0.2609622156950238,0.0335459838257094
33,0.1083840671440225,-0.2607057091231601,0.0332807550938542
34,0.1087044319666688,-0.2605012921945436,0.0330087346535355
35,0.1090190102410635,-0.2603493259283603,0.0327300426213221
36,0.1093276630582963,-0.2602500787110797,0.0324448020597698
37,0.109630254125972,-0.2602037258224587,0.0321531389230808
38,0.1099266498283935,-0.260210349125982,0.0318551820014857
39,0.1102167192855624,-0.2602699369242838,0.031551062864373
40,0.1105003344109723,-0.2603823839798056,0.0312409158021926
